2157.75,2126.5,2365.75,1801.5,2310.75,2219.25,1972.25,2024.75,1708.75,1722.5,1879.5,1580.5,1574.25,1633.75,1463.5,1759.25,1802.25,1665.75,1777.75,1879.5,1913.25,1525,1694.75,1785.5,1716.25,1838,1726.25,1769.25,1696.75,2110.25,1592.75,1617.75,1986,1888,1524.75,1565,1667.75,1670.25,1800.5,1797.25,1603.5,1817.5,1550.25,1456.75,1629,2163.25,2218,1892,2285.75,1886.25,2393,2040,2255.25,2123,2040.25,1805,2150.5,2078.5,2097,1889,1647.75,1771,1268.25,1899,1368.75,1421.75,1430.25,1352.75,1162,1419.75,1547,1009,1013.25,848.75,1322.25,1022,1075.25,990.25,1026.75,852.25,1034.75,890.75,1235.75,1245.25,1126.5,1138.25,1083,1276.75,1022,1256,817.5,650.25,716.5,603.25,747.75,615.5,615.75,727.5,737.25,601.25,704.5,727.25,658.75,681.75,623.75,796.75,673.25,674,728.25,721.75,1003.25,835,726.5,879.75,804,754.5,757,810,774,671,584.25,594.75,634.75,628.5,579.25,629.5,651,766.25,677.75,587.25,742.5,755.75,703.25,626.5,720.5,1413.5,1370.25,873.25,1530.5,1180.5,1242.75,1382,1425.5,1433.25,1376,1521,1484.5,1795.75,1709.75,1898.25,1384.75,1675,1696.75,1722.25,1690.5,1647.25,1865.75,1871.5,1988,2025.25,2220.75,2201.75,1981.25,2252.25,2333,2359.5,2197.25,2295.5,2327.5,2307,2483.75,2565.5,2625.5,2591.5,2886,2217.25,2970.5,2645,2446.25,2721.25
2401.5,2382.25,2466.5,2070.75,1752,1983,1864.5,1400.25,1633,1300,936.75,657.75,703.25,509.5,650.75,713.75,669.75,532.75,644.25,552.5,577.5,544.75,551,559,475,536.75,573.25,619,632,777.5,827.75,961,979.5,1254.75,1207.25,1410.75,1362,1385.5,1389.5,1327.5,1412,1380.5,1522.75,1450,1560.25,1531.5,1448.5,1448,1387.75,1454.25,1445.25,1582.25,1663,1546.75,1574.5,1553.25,1494.75,1376,1326,1339,1266.75,1222.75,1140,934,804.75,850.25,821.75,653,625.5,613.75,614,616.5,643.5,642.25,667.25,710.25,733,747.25,797.75,737.25,750,848,860.25,910.5,1100.75,1269,1384,1452.25,1340.5,1396.5,1329.75,1344.5,1212,1116,1238.5,1306.25,1409.5,1554.25,1601.5,1539.5,1582.75,1613.75,1471,1309,1324,1217.25,1147.25,1160.5,1184.25,1136.25,1135,1048,1030.25,1022,1004.5,1014.5,981.5,978,962.25,859,855.5,765.25,711.75,669.75,656.75,613.25,631.75,636.75,700.25,565,657.25,738.5,666.75,591,649.5,767.5,777.25,853.25,937,940.75,1203.25,1120.25,1094,1057.75,1171.25,1456.5,1548,1282.75,932,1028.5,989.5,947.25,1077.25,1447.5,1460,1543.5,1582,1742.75,1713.75,2122.75,2144.75,2230.5,2221.75,2233.5,2192.25,2397.75,2571.5,2528.25,2471.25,2396.25,2573.5,2879.25,2626,2304,2238,2113.5,1820,2069.75,1971.5,2099.25
382.5,406,394.25,358,332.75,321,297,277.25,279.75,252.25,237.75,238.5,256.25,245.75,238.25,230.75,233,242,233.5,238.75,268.3333333,197,173.75,168,124.5,94.75,94.25,130.75,130.5,127.5,196.5,210,377.75,356.5,464,453.25,487.5,606,661,712,738.25,765.75,738.25,800.25,907.75,600.75,621.25,593.25,574.25,547.75,568,628.25,667,672.25,746,885.75,886.25,1082.75,1212.75,1301.5,1543.25,1530,1601.25,1591.75,1331.75,1414,1404.25,1249,922.75,533.5,471,391.5,398,356.25,346.75,279.25,267.75,317.5,345.75,338,433.25,489.5,579.75,616.25,719.25,851,858.75,904.25,972,1024.5,1028.25,1100.75,1283.75,1464.25,1692.75,2060.5,2432.25,2553.5,2458.75,2326.5,2261.5,2157.5,2510,2698.25,2793.5,2713.75,2723.5,2557.5,2423.5,2596.5,2680.5,2251.5,1721.5,1592,1711.75,2055.75,2007,2030.25,1818.25,1747.5,1583.25,1237.25,1050.5,865.25,918.75,905.75,931.75,890.75,794,835.5,804.25,802,858.5,993.5,1055.25,943.5,1037,1022.75,1020.75,894.75,889.5,800.5,762.25,682,771,764,646,757,1112.25,859,895.75,1007.5,1589.25,1741,2008,1272.25,1385,1659.75,1750.75,2154.5,2375.75,2613.75,2385.75,1813.25,1427.75,1624.75,1414.75,1277.25,1221.5,1113.75,707.5,597,720.25,637.25,625.25,522.25,395.25,412,412,431.75
642.25,624.25,598,582.25,573.5,539.5,590.5,574.25,486.75,482.5,468.75,462.25,475.25,391.25,334.5,300.5,271,243.5,238.75,234.75,229,214,206,191,203,174,123.5,74.25,64.25,39,12,23.25,135.75,96.75,172,248.5,202.5,193.5,142.25,116.25,190.75,251.5,266.25,311.75,391.5,612,661.25,816.5,703,568.25,735,816,895.5,1326.75,1706,1515.5,1367,1630.75,1457.5,1364,1430.25,1452.25,1455.75,1455.25,2131.5,2116.5,2361.75,2483.75,2214.75,2084.75,2305.25,2229.25,1888.5,2063.75,2348.5,2419,2532.75,2322.25,2206.25,2081.5,1725.25,1592.75,1768.25,1917,1446.5,1217.5,1142.25,933.5,921.75,906.5,939.75,935.75,1093.5,1065.75,1126.75,1369.75,1780.75,1976.75,1634.5,1628,1625.25,1496,1353.25,1364.25,1380.75,1377.25,1362,1551.75,1586,1714.5,1965,2098.5,2358.5,2089,1894,1857,1750,1760,2344.25,2542.25,2375.75,2104.25,1427.75,1408.5,1141.25,1109.25,1136.5,1024.5,988.25,956.5,992,999.75,1091.5,970.75,945.5,926,873.25,835.25,835.5,688.5,632.5,655.25,789.5,508.75,480.75,490.25,687.25,1002.5,671.25,551.75,592,983,1668,2348.25,2150.25,2039,1803.75,1724.5,1551.25,1585,1141.75,986,784.25,730.75,712.75,723.75,715.75,661.75,655.75,626.75,637,642.75,650.5,655.75,652,669.75,667.5,663.75,657.25,646
850.75,1000.5,1101,995.5,1019.25,970.5,981,755.5,731.75,662,604.5,627.5,578.5,573.5,546.25,479.5,433,381.75,372.75,374.25,325.75,243.5,173,165.5,162.75,153.25,135.75,109.75,120.75,99.25,132.5,157,194,235.25,272,321.5,350,475.75,588.25,606,691.25,700.75,1285.75,1312,1416,918.25,865.25,1024.75,1157.75,991.75,935.5,992,1271.25,1698.75,1296,860.25,898.5,1212,1435.75,1186.25,1516.75,1765.75,2207,1844.25,1681.25,1841,2006.75,2237,2476.5,2472,2145.75,2070.25,2083.5,2217.5,1795,1606.75,1556.5,1708.5,2588.25,2830.5,2243,2387.5,2396.75,1977.75,1563.25,1125.75,951.5,845.5,716.25,732.25,697.25,623.75,664.25,664.75,728.75,736.75,834,845,706.5,1016.75,1069.5,1031.25,1201,1334.25,1276.75,1755.75,2007.5,1682.75,1548.75,1834.25,1918.25,2359,2374.5,2549.5,2663.25,2721,3128.75,3669.25,4305.75,4357.75,4151,4203.75,4461,4174.25,4209.75,3846.25,3734.75,3122.25,2841,2578.75,2186.5,1779.25,1528.75,1400.5,1387,1510.5,1725.75,2140.5,1517.75,676.25,390.75,1026.25,1678,1685.5,339.6666667,937,1374,592.5,482.25,798.25,749.5,927,999.75,990.75,978.5,878.5,831.5,835.5,797.5,806.5,769.5,745.25,727.25,708.5,686.5,660.25,616,591.5,572.25,556.5,560.25,556,558,551.75,537,578.5,553.75,496.5,583.5,614
3783,3599.5,3189,3097.5,2965.25,2728.5,2560.75,2388,2179.5,1811.75,1742.25,1421.5,1086.25,842,721.25,741.75,621.5,468.5,413.5,389.25,409.5,310.25,239.5,199.25,286,275.25,190.25,173.25,180.25,224.25,295.5,383,557.25,841.25,1183.25,912,785.25,1009.25,1206,1283.75,1197.5,1773.75,1979,2066,2408.75,2281,1914,1791.25,1586,1560.25,2481.75,2203.5,1436.25,1008.25,1349.5,1860.5,2233.5,1833.25,1522,1798,2145,2150,2077.75,2108.25,2112.75,2243.75,3044.25,3457.25,3924.5,4267.5,3824.75,3619.75,3867,3734.5,3555.25,2807.5,2090,1576.75,976.25,1189,1211.5,770.75,779.25,783.25,798.75,840.5,902.5,908,949.5,905.75,834,845,786.5,865.25,913.75,1140.5,1827.25,1858.25,2045.5,1500,1512.25,1700,1705.25,1824.75,2267,2162,2674.25,3139.5,3536.75,3721.5,3619.5,3680.5,3157,2353.5,2409.75,2911,3395,4168,5141.5,5484.25,6273.25,6335.5,6412.75,6530.25,6238.75,5646.75,5249.75,4653.5,4243.25,3475.75,2601.5,1983,1243.25,1230.75,943.25,1097.75,1150,777.5,892,2109,1734.75,2329,1037.5,470,460.25,396.5,291.75,399.5,636.5,750.25,851.25,909.25,955,918,889.25,893,943.5,923.75,871.75,797.25,756,718.5,677.25,629.75,570.75,522.5,480.25,417.5,422,493.25,704.75,949.75,1184,1407.25,1622.25,2102.75,2313,2427.5,2991,3493.5
2627.75,2572.75,2603,2981.75,3485.5,4062.25,4322.75,4416.25,4479,4318,3983.5,4431.75,4752.75,4101.25,3245,2990.25,2217.5,1605.25,834.75,848.75,936.75,800.75,288.75,204,247,310,351,367.25,466,833.25,1061.75,1162.25,1179.25,1202,1206.5,1044.75,977,1353.75,1423.5,1535.75,1907.5,2071.75,2584.5,2053.25,1824,1345.25,1643,1677.25,1497.75,1258,1687.75,1479,957.5,779.25,1004,1468.25,1289.25,1310.5,1236.25,1820.5,2787.75,2860.75,2125.25,2242.5,2239.25,2519.25,2771,3545.75,4066.75,4015.5,4152.5,4250.5,3954.75,4033.25,3701.5,3408,3039.75,2235,1022.75,1320.25,1226.75,869,767.25,687.75,700.25,599.5,458.25,462,477.25,629.5,676.5,836.5,893.25,1010.5,1183,1142.75,921.5,1100.25,887.25,291,345,578.25,445,547,755.75,878.75,1041.25,1410.25,1805,1566.25,1519.25,1566.75,2320.75,3064.75,4035.75,4752.75,5219.75,5820.5,6718,7382,7385.75,7154,6494,5856.25,4554,3472.75,2563.75,2263,1905.5,1592.25,1205.75,1126,911.5,844.5,841.75,744,694,1039.5,958.25,976,1245,1811.5,2462.75,2081,2337.5,2324,1489,903.75,1003,1113.75,1191.5,1210.25,1179.25,1162.5,1146.5,1184.5,1155.25,1099,1060,1118.5,1030.75,931.5,819.75,886.25,881.25,809,769.5,843.5,961,1298.75,1406.25,1962,2395.25,2587.5,3150.25,3602.75,3672.5,3637.25,3412,3338.75
1286,1370.5,1226,1230,1256.75,1445.75,1843.25,2149.75,2500.75,2883.25,3309,4155.25,5482.5,5756.75,4957.75,4659.75,4654.5,3928.25,3805.75,3320.75,2370.5,1842,1647.75,1327.75,1395,757.5,500.25,479.75,619.75,996.75,1084,1075.25,1032.25,1388.75,1206.75,1043,1381,1406.25,2052.75,2140.75,2385.25,2116.5,2390,2211.5,2085.75,1964.75,1714.5,1362.75,1379.5,1048.25,794.75,946.5,814.5,745.25,597.75,683.25,637.5,959,1102,990.5,876,1407.75,1334,1699.75,2017.5,2403.75,2725,3896.75,4389.75,4760.25,4645.25,5049.75,5019,4841.75,4508.75,4093.25,4049.75,3832.75,2577.25,1549.25,2457.25,1911.25,1805,1384.25,1096.75,1103,1063,1011.5,898.25,704.75,604,541.25,606.75,691.5,809.5,857.25,866.5,839.5,766.5,662,666.25,719.75,840.75,905.5,1023.5,960,862.75,847.5,973.25,1244.75,1916,2864.25,3603.75,4501,5111.5,5702,6129.75,6311.25,6642.5,6155.5,5582.75,4933.25,3899.25,2448.75,1779.25,1107.5,1041.5,1011.75,862,905.75,908.75,871.25,940,1639.5,1838,1496.5,2055.5,2665,2936,2488,2238,2120.75,1614.25,1646.25,1585.75,2388.5,2608,1580.75,1562.25,1790.25,2051.5,2194.25,2261,2161.25,2032.75,2142.5,1679.25,1302.75,1425.25,2024.25,1936.5,1626.75,1081.5,1362.75,1601,1380,1260.5,1268,1563.75,1885,1969.5,1799,1908.25,1808.5,1739.75,1590.75,1550.5,1684.5,1831.75,1792.5
1776.5,1907.5,1721.25,1618,1717.75,1539.25,1206.5,1218.75,1258.5,1220.5,1076.75,1045.25,2482.25,4268.5,4292.5,4792,6185.75,6275.25,5823,5468,4259.25,3381.5,2442.25,1939.75,1726.25,1516.5,1183.5,690,1733.25,1663.75,1111.5,1554.75,1909,1585.25,1197,1312.75,1818.5,1972.75,3159.5,3395,3889,2981,2732.75,2470.25,1801,2296.5,2250.25,1681,1569.25,1376.5,1299.5,1273,1084.5,871.25,742.5,498,480.25,713.5,843.75,923.75,1052.5,1195.75,1204.5,1400,1956.5,2308.5,3630.75,4273,4622.5,4588.75,4974.25,5281.25,5312.25,5813.75,6050.75,5802,4729,3793.25,4069.5,4899,4940.5,5609.25,4244.75,2548.75,1631.5,971,631.75,537.5,579.25,653.5,597,612.25,715.25,829.25,984.5,1093.5,1186.75,1198,1187.75,1151.5,1124.5,1213.75,1228.5,1175.75,1147,1232.5,1273.75,1789.25,2235.25,2923.75,3527.25,4160.25,5292.5,5923.5,6665,6727.25,6794.75,6415.75,5302,4478.75,3956,2922.5,1671,1097,1407.5,1577.75,833.5,810.5,806,1061,1520.25,1717.5,1666.5,1774,1154.5,1068,1632.25,1820.75,2309.25,2453.75,2819.5,3143,2822.5,2422.5,2583.25,3317,3209.25,3096.25,3025.5,2464.75,2153.5,2288.75,2791.5,2705,2017,1214.25,1107.75,1105.5,1060.5,1071.25,1832.5,1819.75,1308.75,1176.75,1169.5,1108.25,1272.25,1344,1415.5,1540.25,1542,1594.5,1617.25,1482.25,1164.75,1124.75,1064.5,1202.75,1359,1425.75
1759.25,1596.25,1443.25,1337.25,1768.5,1788,1643,1331.25,1251,1135.25,1039.75,1224.75,2603.75,3068.75,3412.75,3408,4850,5509.5,4666.75,5017.25,4703.25,3934.5,3367.75,2487.5,2935.5,5569,4442.5,2063.5,1125.5,660.75,485.75,1303.75,1755,1747,1882.25,2178.75,2704.25,1839.25,1100.75,1209.25,1677.5,1585.75,2236.5,2420.25,2434.25,3016.5,3109.25,3181.25,3443.75,3297.5,3030,2956.75,2682.5,1282.5,773.25,484.25,311.75,543.25,783.75,893.25,760.75,929,1301.25,1128.25,1301.5,1680.75,3696.25,5014,5160.25,5202,5629,6110,6188.5,5347.75,4640.75,3784.75,4064.75,6732.25,6688.25,4789.75,3084.25,864,843.25,1027.25,826.75,842.75,624,608.5,684,718,796.5,1079.25,1200.5,1225.5,1157,1142,1199,1141,1263,1726.75,2055.75,2444.25,2546.25,3051.25,4023,4634,4889,5469.25,5279,5968,6496.5,7212.75,7265,7167.5,6403.75,5504.75,5338,5142.75,4003.75,3122,1558,1002.75,804.5,983,1911.75,2237.25,1428.25,2462.75,2313.5,2286,2060.5,2463.75,3917.5,4323.25,3558.75,3273,2646,2162.5,1464,1716.25,1664,2256.5,3023,3246.75,3513.25,3519.75,3407.25,3221,2765.75,2475.75,1994.25,1714.25,1684.5,1871.25,2527.5,2454.25,2797.75,2389.25,2297.75,2145.25,2161,1866.75,1385.25,1097.25,1556,1461.75,1489,1797.25,1943.75,1887.25,1607.75,1686.5,1553.75,1269.5,1156,1411.75,1422.75,1442.75,1792.75,1729.25
