,B,V
319,20.287,19.468
320,19.283,18.784
321,19.921,19.311
322,18.073,17.394
323,21.696,20.728
324,20.478,19.818
325,19.614,18.986
326,22.402,21.008
327,21.758,20.883
328,19.83,19.202
329,21.096,20.112
330,20.373,19.608
331,20.809,20.214
332,21.136,20.556
333,18.635,18.092
334,20.799,19.958
335,20.591,19.908
336,21.624,20.614
337,22.103,21.004
338,18.8,18.287
339,22.157,21.27
340,20.203,19.562
341,21.284,20.358
342,22.318,21.239
343,21.063,20.353
344,19.343,18.749
345,20.179,19.503
346,19.854,19.207
347,18.74,18.04
348,21.405,20.272
349,20.753,20.326
350,19.321,18.757
351,22.172,21.056
352,20.895,20.173
353,20.735,20.087
354,15.798,14.92
355,16.18,15.397
356,21.199,20.285
357,19.219,18.639
358,21.048,20.107
359,18.403,17.724
360,19.484,18.884
361,20.647,20.046
362,19.407,18.824
363,22.471,20.82
364,19.297,18.694
365,21.39,20.411
366,18.641,18.068
367,19.427,18.799
368,,20.995
369,19.205,18.69
370,21.352,20.633
371,20.019,19.377
372,20.219,19.582
373,20.724,20.141
374,18.921,18.381
375,22.296,20.906
376,19.705,19.125
377,20.962,20.265
378,21.845,20.888
379,21.651,20.995
380,22.414,21.176
381,21.427,20.722
382,21.263,20.336
383,19.466,18.865
384,19.897,19.334
385,21.748,20.796
386,19.863,19.193
387,20.977,20.18
388,20.897,20.254
389,18.981,18.453
390,19.653,19.068
391,22.327,21.079
392,20.446,20.046
393,22.147,20.509
394,19.44,18.815
395,20.004,19.347
396,22.33,21.035
397,20.896,20.445
398,20.822,20.163
399,22.017,21.026
400,22.411,21.574
401,19.688,19.063
402,20.604,19.67
403,21.627,20.708
404,19.098,18.542
405,20.555,19.934
406,20.825,20.04
407,20.877,20.215
408,22.004,20.955
409,22.247,21.218
410,20.408,19.811
411,20.751,20.085
412,15.78,15.084
413,21.251,20.489
414,19.281,18.6
415,20.093,19.589
416,20.264,18.713
417,20.973,20.392
418,19.374,18.737
419,20.902,20.107
420,20.912,20.195
421,21.029,20.238
422,21.68,20.791
423,20.201,19.479
424,21.226,20.2
425,19.594,18.892
426,22.002,20.571
427,21.418,20.859
428,21.263,20.179
429,21.183,20.34
430,20.135,19.034
431,18.121,17.447
432,20.789,20.11
433,22.528,21.192
434,20.21,19.354
435,19.098,18.277
436,19.924,19.419
437,20.989,20.105
438,18.665,18.147
439,18.589,18.044
440,17.089,16.298
441,19.349,18.788
442,20.804,19.784
443,18.45,17.925
444,22.64,21.52
445,21.454,20.611
446,21.938,20.928
447,19.549,18.982
448,21.174,20.442
449,21.997,21.111
450,18.94,18.382
451,19.841,19.196
452,19.869,19.27
453,20.37,19.773
454,21.873,21.397
455,17.325,17.232
456,21.194,20.478
457,20.424,19.68
458,18.356,17.828
459,20.057,19.388
460,19.341,18.794
461,21.767,21.557
462,19.334,18.757
463,21.113,20.396
464,20.66,19.608
465,21.285,20.47
466,20.919,20.19
467,17.7,16.911
468,21.296,20.358
469,20.601,19.852
470,18.458,17.905
471,20.008,19.367
472,20.865,20.109
473,20.785,20.032
474,21.522,20.625
475,21.243,20.371
476,21.398,20.745
477,21.944,20.603
478,21.617,20.373
479,21.434,20.497
480,20.718,20.209
481,19.464,18.846
482,21.6,19.663
483,20.922,20.081
484,21.745,21.236
485,21.905,20.932
486,18.895,18.382
487,20.193,19.402
488,18.681,18.07
489,21.224,20.4
490,20.0,19.381
491,19.4,18.825
492,20.089,18.974
493,20.676,19.811
494,21.724,20.8
495,22.131,21.081
496,18.846,18.337
497,20.38,19.711
498,19.015,18.497
499,20.517,19.739
500,20.623,19.715
501,19.066,18.407
502,21.944,20.955
503,21.297,20.38
504,19.172,18.598
505,20.403,19.632
506,21.264,19.795
507,22.037,20.956
508,22.676,21.487
509,15.375,15.342
510,21.789,20.901
511,19.041,18.545
512,19.783,19.161
513,21.534,20.874
514,19.484,18.903
515,18.872,18.312
516,22.247,20.962
517,18.134,17.492
518,18.806,18.239
519,22.568,21.721
520,19.161,18.568
521,20.184,19.498
522,20.732,20.092
523,20.546,19.884
524,19.07,18.25
525,19.46,18.229
526,20.547,19.824
527,18.542,18.006
528,21.572,20.938
529,21.977,20.808
530,17.834,17.133
531,21.889,20.923
532,19.949,19.262
533,20.824,20.169
534,21.709,20.725
535,19.994,19.346
536,19.051,18.461
537,19.475,18.892
538,18.035,17.371
539,16.373,15.45
540,19.917,19.319
541,21.953,21.528
542,21.677,20.948
543,20.702,19.923
544,20.786,20.027
545,22.007,20.983
546,20.883,20.176
547,21.724,20.787
548,21.274,20.458
549,21.719,20.791
