RAJ2000,_DEJ2000,n_Seq,Seq,RAJ2000,DEJ2000,pmRA,pmDE,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Icmag,e_Icmag
201.70350534,-47.74956788, ,    46,201.703509,-47.749566,  2.61,  1.94,      ,      ,19.056, 0.023,18.508, 0.014,17.732, 0.018
201.43350192,-47.74918373, ,    47,201.433525,-47.749171, 16.98, 13.81,      ,      ,21.789, 0.203,20.822, 0.065,19.785, 0.088
201.41107464,-47.74908014, ,    48,201.411081,-47.749070,  4.76, 11.09,      ,      ,20.731, 0.113,19.459, 0.034,18.088, 0.040
201.31537396,-47.74881384, ,    49,201.315357,-47.748799,-12.52, 16.36,      ,      ,16.509, 0.011,15.712, 0.010,14.862, 0.037
201.76294583,-47.74958408, ,    50,201.762952,-47.749577,  4.50,  7.81,      ,      ,18.532, 0.014,17.770, 0.021,16.842, 0.018
201.69163840,-47.74952066, ,    51,201.691657,-47.749513, 13.64,  8.32,      ,      ,20.860, 0.048,20.106, 0.053,19.236, 0.085
201.44598433,-47.74912340, ,    52,201.445986,-47.749114,  1.31, 10.41,      ,      ,19.447, 0.025,18.849, 0.018,18.171, 0.060
201.80515121,-47.74949365, ,    54,201.805157,-47.749493,  4.22,  0.65,      ,      ,21.727, 0.161,20.769, 0.154,19.658, 0.110
201.40238827,-47.74893779, ,    55,201.402407,-47.748929, 13.74,  9.74,      ,      ,21.341, 0.123,20.724, 0.103,19.690, 0.078
201.97660562,-47.74926428, ,    56,201.976610,-47.749261,  3.22,  3.47,      ,      ,21.160, 0.101,20.339, 0.074,19.570, 0.087
201.92428638,-47.74939607, ,    57,201.924290,-47.749391,  2.66,  5.43,      ,      ,19.690, 0.039,19.039, 0.024,18.291, 0.091
201.91011206,-47.74936597, ,    58,201.910118,-47.749360,  4.41,  6.53,      ,      ,19.937, 0.036,19.283, 0.029,18.563, 0.190
201.85531247,-47.74944513, ,    59,201.855320,-47.749438,  5.54,  7.74,      ,      ,20.991, 0.105,20.163, 0.027,19.328, 0.071
201.69796794,-47.74940242, ,    60,201.697974,-47.749398,  4.38,  4.78,      ,      ,20.075, 0.041,19.462, 0.025,18.628, 0.031
201.62202430,-47.74935072, ,    61,201.622035,-47.749344,  7.87,  7.47,      ,      ,20.182, 0.025,19.675, 0.069,18.856, 0.123
201.57978526,-47.74930302, ,    62,201.579789,-47.749297,  2.67,  6.65,      ,      ,21.691, 0.083,20.826, 0.118,19.782, 0.148
201.57160924,-47.74927768, ,    63,201.571615,-47.749274,  4.24,  4.15,      ,      ,19.298, 0.011,18.738, 0.053,17.978, 0.042
201.53291266,-47.74915875, ,    64,201.532919,-47.749149,  4.58, 10.79,      ,      ,20.475, 0.039,19.832, 0.057,19.008, 0.068
201.49735712,-47.74913586, ,    65,201.497365,-47.749128,  5.80,  8.54,      ,      ,18.836, 0.013,18.260, 0.017,17.572, 0.025
